ID;Область;Роль;Функция;Пользовательская история;Ожидаемое поведение по коду;Источник в коде;Статус функции;Статус теста;Ошибки/риски;Статус исправления;Статус повторной проверки
RL-US-001;Telegram бот;Новый пользователь;Регистрация через /start;Как новый пользователь я хочу запустить бота чтобы попасть в систему Rocket Lunch;Бот создает или обновляет пользователя по Telegram ID, показывает приветствие, в личном чате добавляет кнопку открытия Mini App при доступном WEBAPP_URL;backend/src/bot/commands/start.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-002;Telegram бот;Возвращающийся пользователь;Повторный /start;Как зарегистрированный пользователь я хочу снова открыть бота и получить краткое приветствие;Бот обновляет данные пользователя и отвечает сообщением с возвращением без повторного сценария нового пользователя;backend/src/bot/commands/start.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-003;Telegram бот;Пользователь;Deep link на меню группы;Как пользователь я хочу открыть меню конкретной группы по ссылке чтобы сразу попасть в нужный контекст;Параметр /start menu_<groupId> отвечает кнопкой Mini App с query groupId;backend/src/bot/commands/start.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-004;Telegram бот;Администратор;Deep link добавления блюда;Как администратор я хочу открыть форму добавления блюда из Telegram-ссылки;Параметр /start add_<groupId> отвечает кнопкой Mini App с groupId и action=add;backend/src/bot/commands/start.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-005;Telegram бот;Участник голосования;Deep link голосования;Как участник я хочу открыть конкретное голосование из Telegram;Параметр /start vote_<pollId> проверяет активность голосования и возвращает кнопку Mini App с pollId;backend/src/bot/commands/start.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-006;Telegram бот;Участник забега в магазин;Deep link магазинного забега;Как участник я хочу открыть конкретный заказ в магазине из Telegram;Параметр /start storerun_<id> возвращает кнопку Mini App со storeRunId;backend/src/bot/commands/start.ts frontend/src/App.tsx;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-007;Telegram бот;Администратор;Deep link быстрого голосования;Как администратор я хочу открыть создание голосования из Telegram-ссылки;Параметр /start poll_<groupId> открывает Mini App с groupId и action=poll при HTTPS WEBAPP_URL, иначе предлагает /startpoll;backend/src/bot/commands/start.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-008;Telegram бот;Пользователь;Команда /help;Как пользователь я хочу увидеть краткую справку по командам;В личном чате бот отправляет справку и кнопку Mini App, в группе отправляет справку без web_app кнопки;backend/src/bot/commands/help.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-009;Telegram бот;Пользователь;Команда /app;Как пользователь я хочу быстро открыть Mini App;В личном чате бот показывает кнопку Mini App, в группе объясняет ограничение Telegram и показывает кнопки справки/меню;backend/src/bot/commands/app.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-010;Telegram бот;Пользователь;Команда /menu в группе;Как участник группы я хочу увидеть меню и статистику прямо из группы;Бот проверяет регистрацию и группу, показывает статистику, популярные блюда и кнопки открытия управления/списка/поиска/популярного/категорий;backend/src/bot/commands/menu.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
